Crops,(1960-61/ 1968-69) , (1968-69/ 1975-76),(1975-76/ 1988-89), (1988-89/ 1995-96),(1995-96/ 2004-05),(2004-05/ 2014-15)
Paddy and wheat,1.53,2.49,3.34,2.2,0.4,2.4
Nutri-cereals,1.11,0.79,-0.29,-1.21,0.44,2.6
Pulses,-2.23,0.26,0.79,-0.86,0.22,2.63
Oilseeds,0.4,2.99,3.49,3.38,-0.78,1.45
Sugar,1.48,1.64,1.68,3.05,3.7,2.69
Cotton and Jute,-0.59,1.51,1.82,4.3,-0.31,5.35
Condiment & spice,0.65,3.62,4.24,3.24,4.95,5.58
Fruits & vegetables,5.44,5.16,3.08,4.07,3.38,4.85
Floriculture,4.6,5.7,3.41,5.29,10.15,6.44
All crops,1.14,2.15,2.57,2.04,1.78,3.1
Livestock,0.35,2.98,4.87,4.12,3.41,4.92
Fisheries,3.98,4.37,3.63,7.11,3.11,3.59
Overall,1.07,2.37,3.09,2.73,2.27,3.61